aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.485,0.652,0.878,0.701,0.844,0.576,0.326,0.415,0.704,0.183,2
0.681,0.179,0.687,0.553,0.39,0.148,0.118,0.344,0.196,0.674,2
0.398,0.234,0.035,0.214,0.944,0.324,0.042,0,0.199,0.236,2
0.406,0.155,0.615,0.704,0.863,0.181,0.05,0.05,0.585,0.454,2
0.044,0,0.088,0.041,0.243,0,0.247,0,0.749,0.042,2
0.401,0.376,0.159,0.307,0.338,0.709,0.192,0,0.628,0.14,2
0.339,0.29,0.159,0.278,0.169,0.228,0.086,0.178,0.183,0.346,2
0.853,0.163,0.841,0.522,0.171,0.181,0.045,0.013,0.418,0.857,2
0.381,0.553,0.625,0.494,0.926,0.599,0.179,0.047,0.915,0.193,2
0.769,0.384,0.582,0.086,0.496,0.546,0.096,0.161,0.682,0.634,2
0.544,0.234,0.023,0.153,0.108,0.164,0.065,0.427,0.75,0.543,2
0,0.166,0.174,0.598,0.787,0.268,0.031,0.367,0.498,0,2
0.271,0.843,0.546,0.44,0.473,0.826,0.233,0.125,0.039,0.281,2
0.521,0.957,0.924,0.845,0.543,0.93,0.148,0.028,0.497,0.245,2
0.057,0.045,0.653,0.186,0.094,0.112,0.634,0.302,0.48,0.054,2
0.992,0.824,0.882,0.466,0.159,0.887,0.109,0.109,0.669,0.927,2
0.528,0.447,0.05,0.48,0.321,0.532,0.14,0.158,0.121,0.536,2
0.364,0.692,0.719,0.094,0.818,0.784,0.013,0.081,0.318,0.294,2
0.263,0.391,0.763,0.947,0.084,0.726,0.555,0,0.124,0.263,2
0.167,0.525,0.421,0.936,0.192,0.913,0,0.18,0,0.171,2
0.344,0.174,0.92,0.79,0.661,0.13,0.536,0.149,0.647,0.256,2
0.84,0.255,0.615,0.096,0.543,0.369,0,0,0.352,0.814,2
0.127,0.166,0.088,0.754,0.502,0.392,0.347,0.05,0.502,0.052,2
0.639,0.692,0.841,0.401,0.831,0.539,0.026,0.229,0.723,0.614,2
0.953,0.744,1,0.948,0.481,0.614,0,0.057,0.272,0.919,2
0.082,0.224,0.615,0.313,0.559,0.125,0.458,0.153,0.674,0.08,2
0.916,0.302,0.549,0.582,0.552,0.417,0.121,0.094,0.619,0.68,2
0.281,0.805,0.515,0.736,0.284,0.576,0.04,0.038,0.052,0.319,2
0.993,0.946,0.546,0.392,0.341,0.913,0.336,0.49,0.381,0.993,2
0.541,0.085,0.615,0.46,0.323,0.091,0.048,0.11,0.397,0.554,2
0.409,0.455,0.615,0.453,0.659,0.569,0.026,0.097,0.238,0.329,2
0.787,0.151,0.365,0.185,0.915,0.335,0.22,0,0.922,0.785,2
0.984,0.871,0.653,0.113,0.045,0.869,0.177,0.208,0.476,0.852,2
0.882,0.261,0.087,0.421,0.301,0.693,0.036,0.198,0.125,0.878,2
