model_name,task_type,algorithm_pair,ciphertext_size,train_size,test_size,accuracy,precision,recall,f1_score,training_time,random_seed,timestamp
SVM,multiclass,5-class,1KB,400,100,0.13,0.13883946488294313,0.13,0.13073637965824628,0.048159122467041016,42,2026-09-16T22:11:34.183533
KNN,multiclass,5-class,1KB,400,100,0.21,0.2300952380952381,0.21,0.20316801278241642,0.0159909725189209,42,2026-09-16T22:11:34.207996
RF,multiclass,5-class,1KB,400,100,0.22,0.2650225891526201,0.22,0.23231965955478684,0.06058669090270996,42,2026-09-16T22:11:34.274830
HKNNRF,multiclass,5-class,1KB,400,100,0.11,0.09076923076923078,0.11,0.09356556556556556,2.0829083919525146,42,2026-09-16T22:11:36.367048
MLP,multiclass,5-class,1KB,400,100,0.18,0.09962121212121212,0.18,0.11438596491228069,4.221477746963501,42,2026-09-16T22:11:40.597882
CNN,multiclass,5-class,1KB,400,100,0.17,0.12048076923076924,0.17,0.11970562770562769,5.7997050285339355,42,2026-09-16T22:11:46.406233
SVM,multiclass,5-class,8KB,399,100,0.1,0.09897346132128743,0.1,0.08985355785355786,0.05647754669189453,42,2026-09-16T22:11:46.468824
KNN,multiclass,5-class,8KB,399,100,0.19,0.1916216216216216,0.19,0.1768735732985981,0.010540246963500977,42,2026-09-16T22:11:46.485176
RF,multiclass,5-class,8KB,399,100,0.21,0.23611883160586888,0.21,0.21440997214167948,0.08219313621520996,42,2026-09-16T22:11:46.575622
HKNNRF,multiclass,5-class,8KB,399,100,0.14,0.1357382183034357,0.14,0.13041119612548183,0.22005677223205566,42,2026-09-16T22:11:46.803863
MLP,multiclass,5-class,8KB,399,100,0.15,0.04476290832455217,0.15,0.06600321027287319,3.913607597351074,42,2026-09-16T22:11:50.727481
CNN,multiclass,5-class,8KB,399,100,0.25,0.06958762886597937,0.25,0.10887096774193548,7.3067522048950195,42,2026-09-16T22:11:58.041364
SVM,multiclass,5-class,64KB,400,100,0.1,0.3287202380952381,0.1,0.10823333098589356,0.04410219192504883,42,2026-09-16T22:11:58.091996
KNN,multiclass,5-class,64KB,400,100,0.24,0.2614761904761905,0.24,0.2173389593528413,0.01774430274963379,42,2026-09-16T22:11:58.119993
RF,multiclass,5-class,64KB,400,100,0.16,0.16946662033618554,0.16,0.15962126600284496,0.0790863037109375,42,2026-09-16T22:11:58.206990
