aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.289,0.299,0.178,0.058,0.056,0.768,0.236,0.034,0.079,0.187,0
0.594,0.164,0.155,0.102,0.894,0.511,0.046,0.053,0.026,0.594,0
0.256,0.544,0.152,0.325,0.282,0.915,0.069,0,0.413,0.058,0
0.218,0.074,0.761,0.487,0.145,0.071,0.119,0.138,0.079,0.221,0
0.739,0.103,0.426,0.645,0.582,0.079,0.038,0.013,0.911,0.739,0
0.528,0.311,0.859,0.834,0.878,0.221,0.046,0.371,0.58,0.352,0
0.248,0.287,0.737,0.64,0.934,0.183,0,0.126,0.385,0.125,0
0.407,0.569,0.985,0.894,0.892,0.883,0.281,0.146,0.863,0.116,0
0.624,0.355,0.451,0,0.718,0.396,0.151,0.126,0.963,0.466,0
0.328,0.531,0.334,0.637,0.621,0.801,0.117,0.47,0.976,0.328,0
0.493,0.5,0.514,0.495,0.54,0.457,0.098,0.055,0.72,0.401,0
0.081,0.431,0.737,0.456,0.594,0.51,0,0.249,0.371,0.053,0
0.131,0.034,0.917,0.144,0.449,0.123,0.106,0.155,0.782,0.062,0
0.63,0.288,0.899,0.203,0.087,0.345,0.144,0.238,0.289,0.631,0
0.023,0.059,0.273,0.609,0.753,0.099,0.12,0.059,0.936,0.023,0
0.719,0.355,0.355,0.028,0.186,0.712,0.122,0.175,0.781,0.496,0
0.618,0.042,0.935,0.093,0.573,0.228,0.044,0.065,0.824,0.618,0
0.024,0.081,0.026,0.877,0.43,0.313,0.064,0.031,0.653,0,0
0.362,0.114,0.221,0.314,0.179,0.101,0.191,0.012,0.414,0.304,0
0.043,0.034,0.038,0.046,0.077,0.11,0.191,0.215,0.2,0.043,0
0.026,0.043,0.112,0.308,0.492,0.021,0,0.229,0.588,0.026,0
0.508,0.165,0.154,0.044,0.22,0.499,0,0,0.537,0.325,0
0.587,0.321,0.486,0.633,0.427,0.869,0.167,0.221,0.986,0.438,0
0.924,0.908,0.644,0.891,0.232,0.699,0.091,0.264,0.473,0.793,0
0.498,0.071,0.024,0.417,0.022,0.064,0.158,0.169,0.152,0.499,0
0.72,0.715,0.368,0.934,0.435,0.659,0.089,0.11,0.405,0.353,0
0.473,0.771,0.443,0.777,0.063,0.797,0.049,0,0.726,0.203,0
0.997,0.63,0.773,0.857,0.535,0.452,0.095,0.287,0.719,0.978,0
0.445,0.305,0.314,0.244,0.484,0.934,0.018,0.049,0.012,0.444,0
0.434,0.651,0.785,0.687,0.469,0.417,0.227,0.278,0.21,0.315,0
0.08,0.675,0.869,0.012,0.459,0.633,0.218,0.219,0.416,0.019,0
0.358,0.058,0.886,0.435,0.714,0.038,0.142,0.079,0.788,0.359,0
0.194,0.246,0.385,0.996,0.023,0.527,0.185,0.191,0.028,0.194,0
0.945,0.814,0.352,0.131,0.717,0.865,0.143,0.124,0.822,0.742,0
0.839,0.259,0.919,0.989,0.121,0.647,0.106,0.19,0.302,0.806,0
0.598,0.68,0.51,0.05,0.251,0.749,0.038,0.176,0.301,0.597,0
0.336,0,0.783,0.155,0.535,0,0,0.065,0.915,0.336,0
0.788,0.227,0.217,0.605,0.497,0.228,0,0.123,0.785,0.691,0
0.253,0.909,0.101,0.89,0.253,0.698,0.058,0.345,0.303,0.194,0
0.524,0.237,0.394,0.624,0.578,0.196,0.228,0.01,0.303,0.461,0
0.029,0.062,0.667,0.125,0.726,0.046,0.146,0.013,0.343,0.029,0
